 X49, X50, X51, X52, X58, X59, X60, X61, X62, X63, X66, X67
125,134,142,150,137,126,120,135,143,151,144,136
124,134,142,151,136,126,119,134,143,151,144,136
125,135,143,151,137,127,120,135,143,151,145,137
125,134,143,151,137,126,120,135,143,151,145,136
125,134,143,151,137,126,120,135,143,152,145,136
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,151,145,137
125,134,143,151,137,127,120,135,143,152,145,137
125,135,143,151,138,127,120,135,143,152,145,137
125,135,143,152,138,127,120,135,144,152,145,137
125,135,143,151,138,127,120,135,143,152,145,137
125,135,143,151,138,127,120,135,143,152,145,137
125,135,143,152,138,127,120,135,144,152,145,137
123,133,141,149,135,124,119,133,141,149,142,134
122,132,140,147,132,122,117,132,140,148,140,132
121,131,139,146,131,121,117,131,139,147,139,131
121,130,138,146,130,121,117,130,138,146,139,130
120,130,138,146,130,120,116,129,138,146,138,130
121,130,138,146,130,121,117,130,138,146,139,131
120,130,137,146,129,120,116,129,138,146,138,130
120,130,138,145,130,120,116,130,138,146,138,130
120,130,138,145,129,120,116,129,138,146,138,130
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,145,130,120,117,129,138,146,138,130
120,130,138,146,130,121,117,130,138,146,138,130
120,129,137,145,129,120,117,129,137,145,137,129
120,129,137,146,129,120,116,129,137,146,138,129
120,129,137,145,129,120,116,129,137,146,138,129
120,130,138,146,129,120,115,129,138,146,138,130
119,129,137,145,129,119,115,129,137,146,138,129
121,130,138,147,130,121,117,130,138,147,139,131
121,131,139,147,132,122,117,131,139,148,140,132
123,133,141,149,134,124,118,133,141,149,143,134
124,134,142,150,136,126,120,134,142,151,144,136
126,136,143,152,138,127,121,136,144,152,145,137
126,135,143,151,137,127,120,136,144,152,145,137
126,136,144,151,138,128,120,136,144,152,145,138
126,136,144,152,139,128,121,136,144,152,146,138
126,135,143,151,138,127,120,136,144,152,146,138
126,135,143,151,138,128,120,136,143,151,145,137
126,136,144,151,139,128,121,136,144,152,146,138
126,136,144,151,138,128,121,136,144,152,146,138
127,136,144,151,139,128,121,137,144,152,146,139
127,137,144,151,139,129,122,137,144,152,146,139
126,135,143,151,138,127,120,136,144,152,145,137
125,136,143,151,138,127,120,136,144,152,145,138
124,134,142,150,135,125,118,134,142,150,143,135
122,131,140,148,132,122,117,131,140,148,141,132
121,131,139,147,131,121,117,130,139,148,139,131
120,130,138,147,130,120,116,129,138,147,139,130
120,129,138,146,130,120,116,129,138,146,138,130
120,130,138,146,130,120,117,129,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,129,138,146,138,130
120,130,138,146,129,120,115,129,138,146,138,130
120,130,138,146,129,119,115,129,138,146,138,129
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,146,130,120,116,129,138,146,138,130
120,130,138,146,129,120,116,129,138,146,138,130
120,129,138,146,129,119,115,129,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,145,130,120,116,130,138,146,138,130
121,131,139,147,131,121,116,131,139,147,140,131
123,133,141,149,134,124,118,133,141,149,142,134
124,134,142,150,136,125,118,134,142,151,144,135
124,134,142,150,135,125,118,134,142,151,144,135
124,134,142,150,136,125,119,134,142,151,144,136
124,134,142,151,136,126,119,134,143,151,144,136
124,134,142,150,136,126,119,134,142,151,144,136
125,135,143,151,137,126,120,135,143,151,144,136
125,135,143,151,137,126,120,135,143,151,145,137
124,134,142,150,136,125,119,134,143,151,144,136
124,134,142,151,136,126,119,134,143,151,144,136
125,135,143,151,137,126,120,135,143,151,145,137
124,134,142,151,136,126,120,134,142,151,144,136
124,134,142,150,136,125,119,134,142,151,144,136
124,134,142,150,136,125,119,134,142,151,144,136
124,134,142,151,136,125,119,134,142,151,144,135
122,132,140,149,134,123,118,132,141,149,142,133
122,131,139,148,132,122,118,131,139,148,140,132
122,131,139,146,131,122,118,131,139,147,139,131
120,130,138,147,130,121,116,130,138,147,139,131
120,130,137,145,130,120,116,129,138,146,138,130
120,130,138,146,130,120,116,129,138,146,138,130
121,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,115,129,138,146,138,130
120,130,137,145,130,120,116,129,138,146,138,130
120,129,138,146,129,120,116,129,138,146,138,130
121,130,138,146,130,120,116,130,138,147,139,130
120,130,138,146,129,120,117,129,138,146,138,130
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,146,130,120,116,130,138,147,139,130
120,130,138,146,130,120,115,129,138,146,138,130
121,131,138,147,130,121,117,130,138,147,139,131
121,131,139,147,131,121,117,130,139,147,139,131
123,133,141,149,134,124,118,133,141,149,142,134
123,133,142,150,135,125,118,133,142,151,144,135
124,134,143,151,136,126,119,134,143,151,144,136
125,135,143,151,137,126,119,135,143,152,145,136
125,135,143,152,138,127,119,135,144,152,145,137
125,135,143,152,137,127,120,135,144,152,145,137
125,135,144,152,138,127,120,135,144,152,146,137
125,135,143,151,137,126,119,135,143,152,145,137
125,135,144,152,137,127,119,135,144,152,145,137
125,135,143,152,137,126,119,135,143,152,145,137
125,135,143,151,137,127,120,135,143,152,145,136
125,135,143,152,137,126,119,135,143,152,145,136
124,135,143,152,137,126,119,135,143,152,145,137
125,135,143,152,137,126,119,135,144,152,145,137
124,134,143,152,136,125,118,134,143,152,145,136
123,133,142,150,135,125,118,133,142,151,143,135
122,132,140,148,132,122,117,131,140,148,141,132
121,131,139,147,131,121,116,130,139,147,139,131
121,130,138,147,130,121,116,130,138,147,139,131
120,130,138,146,130,120,116,129,138,146,138,130
120,130,138,146,130,121,117,129,138,146,138,130
121,130,138,146,130,121,116,130,138,147,139,130
121,130,138,146,130,121,117,130,138,147,139,131
120,130,138,146,130,120,116,130,138,146,138,130
121,130,138,146,130,121,117,130,138,146,139,130
120,130,138,146,129,120,116,129,138,146,138,130
121,130,138,146,130,121,117,130,138,147,139,131
120,129,138,146,129,120,116,129,138,146,138,130
121,130,138,146,130,121,117,130,138,147,139,130
121,130,138,146,130,120,116,129,138,146,138,130
121,130,138,146,130,120,116,130,138,146,139,130
123,132,140,147,133,123,118,132,140,147,140,133
123,133,141,149,134,124,118,133,141,150,143,134
124,134,142,150,136,125,118,134,142,150,143,135
124,134,142,150,136,125,119,134,142,151,144,136
124,134,142,150,137,126,120,134,142,151,144,136
124,134,143,151,137,126,119,135,143,152,144,136
124,135,143,151,137,126,119,135,143,152,145,137
124,134,143,151,137,126,119,134,143,152,145,136
124,134,142,151,136,126,120,134,143,151,144,136
124,134,142,151,137,126,119,134,143,152,145,136
124,135,143,151,137,126,119,135,143,152,145,136
124,134,142,151,136,126,119,134,143,151,144,136
124,134,143,151,137,126,119,135,143,152,145,136
125,135,143,151,137,126,119,135,143,152,145,137
124,134,142,151,136,125,118,134,143,151,144,136
123,133,141,149,135,124,118,133,141,150,142,134
121,131,139,147,132,122,116,131,139,148,140,132
121,130,138,147,131,121,116,130,139,147,139,131
120,130,138,147,130,120,116,130,138,147,139,130
120,130,138,146,130,120,115,129,138,147,139,130
120,129,138,146,130,120,116,129,138,146,138,130
119,129,137,146,129,119,115,129,137,146,138,129
120,130,138,146,130,120,115,129,138,146,138,130
120,129,138,146,130,120,116,129,138,147,138,130
120,129,138,146,130,120,115,129,138,147,138,130
120,130,138,146,130,120,115,129,138,146,139,130
120,129,138,146,129,120,115,129,138,146,138,130
120,130,138,146,130,120,116,129,138,146,138,130
120,129,137,146,129,119,115,129,137,146,138,129
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,115,129,138,146,138,130
120,129,138,146,129,120,116,129,138,146,138,130
120,130,138,146,130,120,116,129,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
122,131,139,147,132,122,117,131,139,147,140,132
123,132,140,148,133,124,118,132,140,149,141,133
124,134,142,150,135,125,119,134,142,150,143,135
124,134,142,150,137,126,119,134,143,151,144,136
126,136,144,152,138,128,121,136,144,152,145,137
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,151,145,137
125,135,143,151,137,126,119,135,143,152,145,136
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,152,145,137
125,135,143,151,137,127,120,135,143,152,145,137
124,135,143,151,137,126,119,135,143,151,145,137
124,135,143,151,137,126,119,135,143,152,145,136
123,133,141,149,135,124,118,133,141,150,143,135
122,132,140,148,133,123,117,131,140,148,141,133
121,131,139,147,131,121,117,131,139,148,140,131
121,130,138,146,130,121,117,130,138,146,139,131
120,130,138,146,130,120,116,130,138,147,139,130
121,130,138,146,130,120,117,130,138,146,139,131
120,130,138,146,130,120,116,130,138,146,139,130
121,131,138,146,131,121,117,130,138,146,139,131
120,130,138,146,130,120,116,130,138,146,138,130
121,130,138,146,130,121,116,130,138,146,139,131
120,130,138,146,130,120,116,130,138,147,139,130
121,130,138,146,130,121,116,130,138,146,139,131
120,130,138,146,130,120,116,130,138,146,139,130
121,130,138,146,130,121,116,130,138,147,139,131
120,129,138,146,130,120,116,129,138,146,139,130
120,129,138,146,130,120,116,129,138,146,138,130
121,130,138,147,130,121,116,130,138,147,139,130
122,132,140,149,132,122,117,131,140,149,141,132
123,133,141,150,135,124,118,133,142,150,143,134
124,134,142,150,136,126,119,134,142,151,144,136
126,136,144,152,138,128,121,136,144,153,146,138
125,135,143,151,138,127,119,135,143,152,145,137
125,135,143,152,138,127,119,135,144,152,145,137
125,135,144,152,138,127,119,135,144,153,146,137
125,135,144,152,138,127,119,135,144,152,146,137
125,135,144,152,138,127,119,135,144,153,146,137
125,135,143,151,138,127,120,135,144,152,145,137
125,135,143,151,137,127,119,135,143,152,145,137
126,136,144,152,138,128,120,136,144,153,146,138
125,135,144,152,138,127,120,135,144,153,146,138
125,135,143,151,138,127,119,135,143,152,145,137
125,135,143,151,137,126,118,135,143,151,145,137
124,134,142,150,135,125,118,134,142,151,144,135
122,132,140,148,133,123,117,132,140,149,141,133
121,131,139,147,131,121,116,130,139,147,140,131
121,130,139,147,131,121,117,130,139,147,139,131
120,130,138,147,130,121,116,130,138,147,139,130
121,130,138,147,131,121,116,130,139,147,139,131
121,130,139,147,130,121,116,130,139,147,139,131
120,130,138,147,130,120,116,129,138,147,139,130
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,147,130,120,116,130,138,147,139,130
120,130,138,146,130,120,116,130,138,147,139,130
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,146,130,120,116,130,138,146,138,130
121,130,138,147,130,120,116,130,138,147,139,130
120,130,138,146,130,120,116,129,138,146,138,130
121,130,138,146,130,121,116,130,138,146,139,131
120,130,138,146,130,120,116,129,138,146,139,130
120,130,138,146,129,120,116,129,138,146,138,130
120,130,138,146,130,120,116,130,138,146,139,130
121,131,139,147,131,121,117,130,139,147,139,131
122,132,140,148,133,122,117,132,140,149,141,133
123,133,141,149,134,124,118,133,141,150,142,134
124,134,142,150,135,125,118,134,142,151,144,135
124,134,142,151,136,125,117,134,143,151,144,136
124,135,143,151,137,126,118,135,143,152,145,136
124,135,143,151,137,126,119,135,143,152,145,136
124,134,142,151,137,126,118,134,143,151,145,136
125,135,144,152,137,126,118,135,144,152,145,137
124,135,143,151,137,126,118,135,143,152,145,137
125,135,143,151,137,126,119,135,143,152,145,137
124,135,143,152,137,126,119,135,143,152,145,136
125,135,143,151,137,127,119,135,144,152,145,137
125,135,143,151,137,126,119,135,143,152,145,137
125,135,143,151,137,127,119,135,144,152,145,137
124,134,142,151,136,125,119,134,143,151,144,136
122,132,140,149,133,123,117,132,140,149,142,133
121,130,139,148,131,121,117,130,139,148,140,131
121,130,138,147,130,121,117,130,139,147,139,131
120,130,138,146,130,120,116,130,138,147,139,130
120,130,138,146,130,120,116,130,138,147,138,130
121,130,139,147,130,121,117,130,139,147,139,131
120,130,139,147,130,120,116,130,139,147,139,131
121,130,139,147,130,120,116,130,139,147,139,130
121,131,139,147,131,121,116,131,139,147,139,131
121,130,138,146,130,121,117,130,138,147,139,130
121,130,138,147,129,120,117,130,138,147,138,130
121,130,138,146,130,121,117,130,138,147,139,130
121,130,138,147,130,120,117,130,138,147,138,130
121,130,138,146,130,121,117,130,138,147,139,130
121,131,139,147,130,121,117,130,139,147,139,131
120,130,138,146,129,120,116,130,138,147,138,130
120,130,138,146,130,120,116,130,138,146,138,130
120,130,138,147,130,120,117,130,138,147,139,130
121,131,139,148,132,122,117,131,139,148,140,132
123,133,141,149,134,124,119,133,141,150,142,134
124,134,142,150,136,125,119,134,142,151,143,135
124,134,143,151,136,126,120,135,143,151,144,136
124,134,143,151,137,126,119,135,143,152,145,136
125,135,143,151,137,126,120,135,143,151,145,136
125,135,143,151,137,127,120,135,143,152,145,137
126,136,144,153,138,128,120,136,145,154,146,138
125,135,144,152,138,127,120,135,144,152,145,137
126,136,143,152,138,127,120,136,144,152,146,137
126,136,144,153,138,128,121,136,145,153,146,138
125,135,143,152,138,127,120,135,144,152,146,137
125,135,143,151,138,127,120,135,143,152,145,137
125,135,143,152,138,127,120,136,144,153,146,137
126,136,144,152,138,128,121,136,144,153,146,138
125,135,144,152,137,127,120,136,144,152,145,137
124,134,142,151,136,125,119,134,143,151,144,135
122,132,140,149,133,122,117,132,141,150,141,132
121,131,140,148,131,122,117,131,140,148,140,132
122,132,140,148,132,122,118,132,140,148,140,132
122,131,139,147,131,122,118,131,139,147,140,132
121,131,139,148,131,121,117,131,139,148,140,131
121,131,139,147,131,121,117,131,139,148,140,131
121,131,139,147,131,121,117,131,139,147,139,131
121,131,139,147,130,121,117,130,139,147,139,131
121,131,139,147,131,121,117,131,139,148,139,131
120,131,139,147,130,120,116,130,139,147,139,130
121,131,139,147,130,121,117,130,139,147,139,131
121,131,139,147,130,121,116,130,139,147,139,131
121,131,139,147,130,121,117,131,139,147,139,131
121,131,139,147,130,121,116,130,139,147,139,131
122,132,140,148,133,122,117,132,140,149,141,133
123,133,142,150,135,124,118,133,142,151,143,135
124,134,143,151,137,126,119,134,143,152,144,136
125,135,143,152,137,126,120,135,144,152,145,137
125,135,143,151,137,126,120,135,143,152,145,137
125,135,143,151,137,126,119,135,143,152,145,136
125,135,143,151,137,126,120,135,143,152,145,136
125,135,143,151,137,126,119,135,143,152,145,136
125,135,143,151,137,126,120,135,144,152,145,137
125,135,143,152,137,126,119,135,144,152,145,137
125,135,143,151,138,127,119,135,144,152,145,137
125,135,143,151,137,126,119,135,143,152,145,137
125,135,143,151,137,126,119,135,143,152,145,137
125,135,143,151,137,126,120,135,143,152,145,136
125,135,143,151,137,126,119,135,143,152,145,137
