 X51, Y51, X52, Y52, X53, Y53, X54, Y54, X62, Y62, X63, Y63, X64, Y64
122,172,128,170,135,171,143,174,122,176,128,175,140,174
122,172,128,170,136,171,143,174,122,176,128,175,140,174
122,171,129,170,136,171,144,174,122,176,129,175,141,174
122,170,129,168,137,169,143,172,122,174,129,173,141,172
122,168,129,167,137,168,144,171,122,172,130,171,141,171
122,168,129,166,137,167,144,171,122,171,129,170,141,171
121,168,129,166,137,168,144,171,122,172,129,171,141,171
121,168,128,167,137,168,144,171,121,171,129,170,141,171
121,168,128,166,137,168,144,171,122,171,129,170,141,171
122,169,128,167,136,168,143,171,122,172,129,171,140,172
122,170,128,168,136,169,143,172,122,173,128,173,140,172
122,171,128,169,136,170,143,172,122,175,128,174,140,173
121,171,127,170,135,171,142,173,121,175,127,174,139,174
121,171,127,170,134,171,142,174,121,176,127,175,139,174
121,171,127,170,134,171,142,174,121,176,127,175,140,174
121,171,127,170,134,171,142,174,121,176,127,175,139,174
121,172,127,170,135,171,142,174,121,176,127,175,140,174
122,172,128,170,135,172,143,174,122,176,128,175,140,174
122,172,127,170,135,171,142,174,122,176,128,175,139,174
122,172,128,170,135,171,142,174,122,176,128,175,139,175
122,172,128,170,135,171,142,174,122,176,128,175,139,175
121,172,127,170,134,172,142,174,121,176,127,175,139,175
121,172,127,170,135,172,142,174,121,176,127,175,139,175
122,172,127,170,135,172,142,174,122,176,128,175,139,175
121,172,127,170,135,172,142,174,121,176,127,175,139,175
121,172,127,171,134,172,141,174,121,176,127,175,139,175
121,172,127,171,134,172,142,174,121,176,127,175,139,175
121,172,127,171,134,172,142,174,121,176,127,175,139,175
121,172,127,170,134,172,142,174,121,176,127,175,139,174
121,172,127,170,134,171,142,173,121,175,128,174,139,174
121,171,127,170,135,170,142,173,121,175,127,174,139,173
121,172,127,170,135,171,142,173,121,175,128,174,139,173
121,171,127,170,135,171,142,173,121,175,127,175,139,174
120,171,127,169,135,170,142,172,121,174,127,173,139,172
121,169,128,167,136,168,143,170,121,172,128,171,140,171
120,168,128,166,137,167,144,169,120,171,128,170,141,170
120,168,127,166,137,166,144,168,120,170,128,169,141,169
120,167,128,166,137,165,145,167,120,170,128,169,141,168
120,167,127,166,136,165,144,168,120,170,127,169,141,169
120,167,127,166,136,165,144,168,120,170,127,169,141,169
121,167,128,165,137,165,144,167,121,170,128,169,141,168
120,167,127,166,136,166,144,168,120,170,128,169,141,169
121,167,128,166,137,166,145,168,121,170,128,169,142,169
120,167,127,166,136,165,144,168,120,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,141,169
121,167,128,166,137,166,145,167,121,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,142,169
120,167,128,165,137,165,145,168,120,170,128,169,142,169
121,167,129,165,137,165,145,168,121,170,129,169,142,169
121,167,128,166,137,165,145,168,121,170,129,169,142,169
121,167,128,166,137,166,145,168,121,170,128,169,141,169
120,167,128,166,137,166,145,168,120,170,128,169,142,169
120,167,128,165,137,165,145,168,121,170,128,169,142,169
120,167,128,166,137,166,145,168,120,170,128,169,142,169
120,167,128,165,137,165,145,167,121,170,128,169,142,168
121,167,128,166,137,166,145,167,121,170,128,169,142,169
121,167,128,166,137,166,145,167,121,170,128,169,142,168
121,168,128,166,137,166,145,168,121,170,128,169,142,169
121,167,129,166,137,165,145,167,121,170,129,169,142,168
120,167,128,166,137,166,145,168,120,170,128,169,142,169
121,167,128,165,137,165,145,168,121,170,128,169,142,169
121,167,129,165,137,165,145,168,121,170,129,169,142,169
120,168,128,166,137,166,144,169,120,171,128,170,141,170
120,168,127,167,136,167,144,169,120,171,127,170,141,170
120,168,127,167,136,168,144,171,120,171,127,171,141,171
120,169,127,168,136,169,143,172,120,172,127,172,140,173
120,170,127,169,135,171,143,173,121,174,127,174,139,174
121,172,127,170,135,172,143,174,121,176,128,175,139,175
120,172,127,171,135,172,143,175,121,176,127,176,139,175
121,172,127,171,135,172,143,175,121,177,127,176,139,176
121,173,127,171,135,173,142,176,121,177,127,177,139,176
121,173,128,171,135,173,142,176,121,178,128,177,139,176
121,173,127,171,135,173,142,176,121,178,128,177,139,176
121,173,127,171,135,173,142,176,121,178,127,177,139,176
121,173,127,171,135,173,142,177,121,177,128,177,139,177
121,173,127,171,135,173,142,176,121,177,127,176,139,176
121,172,127,171,134,173,141,176,121,177,127,176,138,176
121,172,127,170,135,172,142,176,121,177,127,176,139,176
121,172,127,171,134,173,141,176,121,177,127,176,138,176
121,172,127,171,135,172,142,176,121,177,128,176,139,176
121,172,127,170,135,172,142,176,121,177,128,176,139,176
121,173,127,171,135,172,142,176,121,177,127,176,139,176
121,172,127,171,135,172,142,176,121,177,128,176,139,176
121,172,127,171,135,173,142,176,121,177,127,176,139,176
121,172,127,170,135,172,142,175,121,177,127,176,139,176
121,172,127,170,135,172,142,175,121,177,128,176,139,176
121,172,127,170,135,172,142,175,121,176,128,176,139,176
122,172,128,170,136,171,143,174,122,176,128,175,140,175
121,171,128,169,136,170,143,173,121,175,128,174,140,173
122,169,129,167,137,168,144,170,122,172,129,171,141,171
121,168,128,166,137,166,144,169,121,171,129,170,141,169
121,168,129,166,138,166,146,168,121,171,129,170,142,169
121,168,128,166,137,165,145,167,121,170,129,169,142,168
121,167,128,166,137,165,146,167,121,170,129,169,142,168
121,167,128,165,137,165,145,166,121,170,129,169,142,168
120,167,128,165,137,165,146,166,120,170,128,169,143,168
121,167,129,165,138,165,146,166,122,170,129,168,143,168
121,167,129,165,138,165,146,167,121,170,129,169,143,168
121,167,129,165,138,165,146,167,121,170,129,169,143,168
122,167,129,165,138,165,145,167,122,170,130,169,142,168
122,167,129,165,138,165,146,167,122,170,130,168,143,168
121,167,129,165,137,165,146,167,121,169,129,169,142,168
121,167,129,165,138,165,146,167,121,169,129,169,143,168
121,167,128,165,137,165,146,167,121,169,129,169,142,168
122,166,129,165,138,165,146,167,122,169,129,168,143,168
121,167,129,165,138,165,146,167,121,169,129,168,143,168
121,167,128,165,137,165,145,166,121,169,128,169,142,167
121,167,128,165,138,165,146,166,121,169,129,168,143,168
120,167,128,165,137,165,146,166,121,169,128,168,143,167
121,167,129,165,138,165,146,167,121,169,129,168,142,168
120,166,128,165,137,165,145,167,120,169,128,168,142,168
121,167,129,165,137,165,145,167,121,169,129,168,142,168
121,167,128,165,138,165,145,167,121,169,129,168,142,168
120,167,128,165,137,165,145,167,120,169,128,168,142,168
121,167,128,165,137,165,145,167,121,170,129,169,142,168
121,166,128,165,137,165,146,167,121,169,128,168,142,168
121,167,129,165,138,165,146,166,121,169,129,168,143,168
121,166,128,165,137,165,145,167,121,169,129,168,142,168
121,166,128,164,138,164,146,167,121,169,129,168,142,168
121,166,128,165,137,165,145,167,121,169,128,168,142,168
121,166,128,165,138,165,146,166,121,169,129,169,143,167
121,166,128,165,138,165,146,166,121,169,128,168,143,167
121,166,128,165,138,165,145,166,121,169,128,168,142,168
120,167,128,165,137,166,145,168,120,169,128,169,142,169
120,167,128,166,136,166,144,169,120,170,128,169,142,170
120,167,127,166,136,167,144,170,120,170,127,170,141,171
120,167,127,166,136,167,144,171,120,171,127,170,141,171
120,168,126,167,135,168,143,172,120,171,127,171,140,172
120,169,126,167,135,169,143,173,120,172,127,172,140,174
120,169,127,168,135,170,143,174,120,173,127,173,139,174
120,170,126,169,135,171,142,175,120,174,127,173,139,175
120,171,126,169,134,172,142,175,120,175,127,175,139,175
121,171,127,170,135,172,142,176,121,176,127,175,139,176
121,172,127,170,135,172,142,176,121,177,128,176,139,176
121,172,128,171,135,172,142,176,121,177,128,176,139,176
122,172,128,170,136,172,143,175,122,176,128,176,140,176
121,172,128,170,135,172,143,175,122,176,128,176,139,175
122,172,128,170,136,172,143,175,122,176,128,176,140,175
122,172,128,170,136,171,143,175,122,176,128,175,140,175
122,171,128,170,136,171,143,175,122,176,129,175,140,175
122,171,128,170,136,171,143,174,122,175,129,174,140,174
122,171,128,169,136,171,143,174,122,175,128,174,140,174
122,171,129,169,136,170,143,174,122,175,129,174,140,174
122,171,128,169,136,170,143,173,122,175,129,174,140,174
122,170,128,169,136,170,143,173,122,175,128,174,140,174
122,170,128,168,136,170,143,172,122,174,128,174,140,173
122,170,128,168,136,169,143,172,122,174,128,173,140,173
122,170,128,168,135,169,142,171,122,173,129,172,140,171
122,169,129,167,136,167,143,170,122,171,129,171,140,170
122,167,129,166,137,166,144,168,122,170,129,169,141,169
123,167,130,165,138,165,145,168,123,170,130,169,142,169
122,167,129,165,138,165,146,167,122,170,129,169,142,168
122,167,129,165,138,165,146,167,122,170,130,169,142,168
122,167,129,165,138,165,146,167,122,170,130,169,142,168
122,167,129,165,138,165,146,167,122,169,130,168,142,168
121,167,129,165,138,165,145,167,121,170,129,169,142,168
122,167,130,165,138,165,146,167,122,170,130,169,142,168
121,167,129,165,137,165,145,167,121,170,129,169,142,168
121,167,129,165,138,165,145,167,122,170,130,169,142,168
121,167,128,165,137,165,145,167,121,170,129,169,142,168
121,167,128,165,137,165,145,167,121,170,128,169,142,168
121,167,128,165,137,165,145,167,121,169,128,169,142,168
122,167,129,165,137,165,145,167,122,169,130,168,142,168
122,166,130,165,138,165,146,167,122,169,130,168,143,168
121,167,129,165,138,165,145,167,121,169,129,168,142,168
121,167,129,165,137,165,145,168,121,170,129,169,142,168
121,167,129,165,137,165,146,167,121,170,129,169,142,168
121,167,129,165,137,165,145,167,121,169,129,169,142,168
121,167,129,165,137,165,145,167,121,169,129,169,142,168
122,167,130,165,138,165,146,167,122,170,130,169,143,168
121,167,129,165,138,165,146,167,121,170,129,169,142,168
122,167,129,165,138,165,145,167,122,169,129,168,143,168
121,167,129,165,138,165,145,167,121,169,129,169,142,168
121,167,129,165,138,165,145,167,121,169,129,169,142,168
122,166,129,165,138,165,146,167,122,169,130,168,143,168
122,166,130,165,138,165,145,167,122,169,130,169,142,168
121,166,129,165,138,165,146,167,121,169,129,168,143,168
121,167,129,165,138,165,145,167,121,169,129,169,142,168
121,167,129,165,138,165,145,167,121,170,129,169,142,168
121,167,129,165,138,165,146,167,121,169,129,169,143,168
122,167,129,165,138,165,146,167,122,169,129,169,142,168
121,167,129,165,138,165,145,167,121,169,129,168,142,168
121,167,129,165,137,165,146,167,121,169,129,168,142,168
121,167,128,165,137,165,145,167,121,170,129,169,142,168
121,167,129,165,138,165,145,167,121,169,129,168,142,168
121,167,129,165,137,165,145,168,121,169,129,169,142,169
121,167,129,165,137,166,145,168,121,170,129,169,142,169
121,167,128,166,137,166,144,169,121,170,128,169,141,169
120,168,128,167,136,167,144,171,120,171,128,170,141,171
121,170,128,169,136,170,143,174,121,173,128,173,140,174
121,172,128,170,135,173,142,176,121,176,128,175,139,176
122,172,128,171,135,173,142,177,122,177,128,176,139,177
122,173,128,171,136,173,143,177,122,177,128,176,139,177
122,172,128,171,136,173,143,177,122,177,128,176,139,177
121,172,127,170,136,173,143,176,121,176,128,176,139,176
121,172,127,170,135,172,142,176,121,176,128,176,139,176
122,172,128,170,136,172,142,176,122,176,128,176,139,176
122,172,128,170,136,172,143,176,122,176,128,176,139,176
122,172,127,170,135,172,142,176,122,176,128,176,139,176
122,172,128,170,136,172,143,176,122,176,128,176,140,176
122,172,128,170,135,172,142,176,122,176,128,176,139,176
122,172,128,171,136,172,143,176,122,177,128,176,140,176
122,172,128,170,136,172,143,176,122,176,129,176,140,176
122,172,128,170,136,172,143,176,122,177,128,176,139,176
122,172,128,170,136,172,143,176,122,176,129,176,140,176
122,172,128,170,136,172,143,176,122,176,129,176,140,176
122,172,128,170,136,172,143,176,122,176,128,176,140,176
122,172,128,170,136,172,143,176,122,176,128,176,140,176
122,172,128,170,136,172,143,176,122,176,129,176,140,176
122,171,128,170,136,172,143,176,122,176,128,176,140,175
122,171,128,170,136,171,143,175,122,176,128,175,140,175
122,172,128,170,136,172,143,175,122,176,128,175,140,175
122,171,129,170,136,171,143,174,122,176,129,175,140,175
123,171,129,170,136,171,143,174,123,176,129,175,140,174
122,171,129,169,136,171,143,174,122,175,129,174,140,174
123,170,129,168,137,170,143,173,123,174,130,173,140,173
122,169,129,168,136,169,143,172,122,172,129,172,140,172
122,168,129,167,136,168,143,171,122,171,129,170,140,171
122,168,129,166,136,167,143,171,122,171,129,170,140,171
122,168,129,166,137,167,144,170,122,170,129,170,140,170
122,167,128,166,136,166,143,169,122,170,129,169,140,170
122,167,129,166,136,166,143,170,122,170,129,169,140,170
122,167,129,165,137,166,144,169,122,170,129,169,141,169
121,167,129,166,137,166,144,169,121,170,129,169,141,170
121,167,129,165,137,165,144,169,121,169,129,168,141,169
122,167,129,165,137,166,144,169,122,170,129,169,141,169
121,167,129,165,137,166,144,168,122,169,129,169,141,169
122,167,129,165,137,166,145,168,122,169,129,169,141,169
122,167,130,165,138,166,145,168,122,170,130,169,142,169
121,167,129,165,137,165,145,168,121,170,129,169,142,168
121,167,128,165,137,166,145,168,121,169,129,168,142,169
122,167,129,165,138,165,145,167,122,169,130,168,142,169
121,167,129,165,137,165,145,168,121,169,129,168,142,169
121,166,129,165,138,165,145,168,121,169,129,168,142,168
122,166,129,165,137,165,145,167,122,169,129,168,142,168
121,167,129,165,137,165,144,168,121,169,129,168,142,168
121,167,128,165,137,165,144,167,121,169,128,168,141,168
121,167,128,165,136,165,144,168,121,169,128,169,141,168
121,167,129,165,137,165,144,168,121,169,129,169,141,169
121,167,128,165,137,165,144,168,121,170,128,169,141,168
122,167,129,165,137,165,144,168,122,169,129,168,141,169
121,167,128,165,136,165,144,168,121,170,129,169,141,169
121,166,128,165,137,165,144,169,121,169,129,168,141,169
121,167,129,165,137,165,144,169,121,170,129,169,141,169
121,167,128,165,137,165,144,168,121,169,129,168,141,168
121,167,128,166,137,166,144,168,121,170,128,169,141,169
121,167,128,165,137,165,144,168,121,170,129,169,141,169
121,167,128,165,137,166,144,168,121,170,128,169,141,169
121,167,128,165,137,165,144,168,121,169,129,168,141,169
120,167,127,165,136,166,143,169,120,170,127,169,140,169
121,167,128,165,137,166,144,169,121,170,129,169,141,169
121,167,128,165,136,166,144,168,121,170,128,169,141,169
121,167,128,165,137,166,144,169,121,170,128,169,141,169
121,167,128,165,137,166,144,168,121,170,128,169,141,169
121,168,128,166,137,166,145,168,121,170,129,169,142,169
121,167,128,165,137,166,145,169,121,170,128,169,142,169
121,167,128,166,137,166,144,169,121,170,129,169,141,169
120,167,128,165,136,166,144,168,121,170,128,169,141,169
121,167,128,165,137,166,144,168,121,170,128,169,141,169
121,167,128,166,137,166,145,169,121,170,129,169,141,170
120,167,128,166,137,166,144,169,120,170,128,169,141,170
120,167,128,166,136,166,144,169,120,170,128,170,140,170
120,167,127,166,136,166,144,168,120,170,127,169,140,169
121,167,128,166,137,166,144,169,121,170,128,169,141,170
120,167,128,166,136,166,143,170,120,170,128,169,140,170
121,167,128,166,136,167,143,170,121,170,128,170,140,170
120,168,127,167,136,167,144,170,120,171,128,170,141,171
121,168,128,167,136,168,143,171,121,171,128,171,140,171
121,169,127,167,136,169,143,172,121,172,128,171,140,172
121,170,127,168,136,170,143,173,121,173,128,173,140,173
121,170,127,169,135,170,143,173,121,174,128,174,139,174
121,171,127,169,135,171,142,174,121,175,128,174,139,175
121,172,127,170,134,172,142,175,121,177,127,176,138,176
121,172,127,171,135,173,141,176,122,178,127,177,138,176
122,172,127,171,134,173,142,176,122,177,128,177,139,176
122,173,127,171,135,173,142,176,122,178,128,177,139,176
122,173,127,171,135,173,142,176,122,178,128,177,139,176
122,173,128,172,135,173,142,176,122,178,128,177,139,176
122,173,127,171,135,173,143,176,122,177,128,177,140,176
122,172,128,171,136,173,143,176,122,177,129,176,140,176
122,172,128,170,136,172,143,176,122,177,128,176,140,176
123,172,128,170,136,172,143,176,123,177,129,176,141,176
122,172,128,170,136,172,143,176,122,177,129,176,140,176
122,172,129,170,136,172,143,175,122,177,129,176,140,175
122,172,128,170,136,172,143,175,122,177,128,176,140,176
122,172,128,170,136,172,143,176,122,177,128,176,140,176
122,172,128,170,136,172,143,176,122,177,129,176,140,176
122,172,128,170,136,172,143,175,122,177,128,176,140,175
122,171,129,170,136,171,143,174,123,176,129,175,140,175
122,170,129,169,136,170,143,174,122,175,129,174,140,174
122,170,129,168,136,170,143,174,122,175,129,174,140,174
122,170,129,168,136,170,143,174,122,175,129,174,140,174
122,170,128,168,136,170,143,174,122,175,129,175,139,174
122,170,128,169,136,170,142,174,122,175,129,174,139,174
