 X51, X52, X53, X54
126,133,141,150
126,133,141,150
126,133,141,150
126,133,141,150
126,133,141,150
126,133,142,150
126,133,142,150
126,134,142,150
126,133,141,150
126,133,141,150
125,133,141,150
126,133,141,150
125,132,141,149
126,133,141,150
126,133,141,150
125,133,142,151
125,133,141,150
126,133,142,150
126,134,142,150
126,133,142,150
126,133,142,150
126,133,141,150
126,133,141,150
126,134,142,151
127,134,142,151
127,134,142,150
127,134,143,151
126,134,142,150
127,134,142,150
127,134,142,151
127,134,142,151
127,134,142,150
126,134,142,151
127,134,142,150
127,134,142,151
127,134,142,151
126,134,142,150
127,134,142,150
127,134,142,150
127,134,142,150
127,134,142,150
128,135,143,150
127,134,142,150
128,135,143,150
128,135,143,151
128,135,143,151
128,135,143,151
128,135,143,151
128,135,143,151
127,135,143,152
127,134,143,153
127,135,145,157
126,133,144,156
125,133,143,155
125,134,144,156
126,134,144,155
125,133,144,155
126,134,145,157
125,133,144,156
125,134,145,156
126,135,145,157
126,134,145,157
125,134,145,156
126,134,145,157
125,135,146,158
125,134,145,157
124,133,144,155
125,135,145,158
125,134,145,157
125,134,144,156
125,134,144,157
125,134,145,157
125,134,144,155
126,134,143,152
127,134,143,152
126,133,142,151
127,134,142,151
127,134,142,151
127,135,143,151
127,135,143,151
128,135,143,151
128,136,144,152
129,137,145,153
130,137,145,153
131,138,146,154
131,139,147,154
131,139,147,154
131,139,146,154
131,139,147,154
131,139,147,154
131,139,147,154
132,139,147,154
131,139,147,154
130,138,146,156
130,138,148,158
128,136,146,158
129,137,147,158
129,138,148,160
130,138,148,159
130,139,148,159
130,138,148,159
129,138,148,159
129,138,148,159
128,137,147,158
129,137,147,159
129,138,147,158
129,137,148,159
128,137,147,158
128,137,147,157
130,138,148,159
130,138,148,158
130,138,148,157
130,138,147,155
130,137,146,154
130,137,146,154
129,136,144,153
128,136,144,152
129,136,144,152
128,136,144,152
128,136,144,152
128,136,144,151
128,136,144,152
128,135,143,152
127,134,143,151
127,134,143,151
126,134,142,150
126,134,142,151
126,133,141,150
126,134,142,150
126,133,142,150
126,134,142,150
126,133,142,150
126,133,142,150
125,133,142,150
125,133,142,150
123,132,141,151
122,131,142,155
122,132,144,157
123,133,145,158
122,132,144,156
122,132,143,155
122,132,143,155
122,132,143,155
122,131,142,154
122,132,143,155
122,132,144,155
122,132,144,157
121,131,143,156
121,131,143,156
122,132,143,155
121,131,143,155
122,131,143,155
122,131,142,154
122,131,140,151
122,129,139,148
122,129,139,148
122,129,138,148
121,129,138,146
121,128,138,147
121,129,138,147
121,129,138,147
122,130,139,147
122,130,139,147
122,130,138,147
122,130,138,147
122,129,138,147
122,130,139,147
122,130,139,147
122,130,139,147
122,130,139,148
122,131,139,147
122,130,139,147
122,130,139,149
122,131,142,153
122,132,143,156
122,131,142,155
122,132,144,158
122,131,142,156
122,132,143,156
121,131,144,156
121,131,143,156
122,132,144,157
122,132,143,155
122,132,144,156
122,132,144,156
121,131,143,155
122,131,143,155
122,132,143,155
121,131,143,155
121,132,143,157
121,131,143,157
121,131,143,157
122,131,143,156
121,131,143,157
121,131,142,154
121,131,143,155
122,132,144,157
122,131,142,154
122,132,143,156
122,130,141,152
122,130,140,150
122,130,139,149
122,130,139,148
122,130,139,148
122,131,139,147
122,131,140,148
122,131,139,148
123,131,140,148
123,131,140,148
122,130,139,147
122,131,139,147
123,131,139,147
122,130,139,147
122,130,139,147
122,130,139,147
122,130,139,147
122,131,140,148
122,130,139,147
122,131,139,147
122,130,139,147
122,130,139,147
122,131,140,148
122,131,139,147
123,131,140,147
123,131,140,148
123,131,139,147
122,130,139,147
122,130,139,147
122,130,139,146
123,131,139,147
123,131,139,147
123,131,139,147
123,131,140,147
122,131,139,147
123,130,139,147
123,131,139,147
123,131,139,147
122,130,139,147
122,130,139,147
123,131,139,147
123,131,139,147
122,130,139,147
123,131,139,147
123,130,139,147
122,130,138,147
122,130,139,147
122,130,138,147
122,130,139,147
123,130,139,147
122,130,139,147
122,130,139,147
123,130,139,148
122,129,138,147
123,130,139,147
123,131,139,147
123,130,139,148
122,130,138,146
123,130,139,147
123,130,139,148
123,130,139,148
123,130,139,147
123,131,139,148
123,130,139,147
123,130,139,147
123,131,139,147
123,130,139,147
122,130,139,147
122,130,139,147
123,130,138,147
123,130,139,147
123,130,139,147
123,131,140,148
123,131,139,148
123,131,140,148
122,130,141,152
123,132,142,154
122,131,143,155
122,132,143,156
123,132,144,157
122,132,144,156
123,133,145,157
123,133,145,158
122,132,144,157
124,133,145,157
123,132,144,156
123,132,144,156
123,133,145,157
123,132,145,157
122,132,144,157
122,133,145,158
122,132,144,157
122,132,144,157
122,132,144,157
122,132,144,157
122,133,145,158
122,132,143,154
122,132,143,155
121,130,142,153
122,132,144,156
122,131,142,154
122,130,139,150
122,130,139,148
122,130,139,147
122,130,139,147
123,131,139,147
123,130,139,147
123,131,140,148
123,130,139,147
124,132,140,148
123,131,139,148
124,132,140,148
123,131,139,148
123,131,140,148
123,131,140,148
123,131,140,148
123,131,140,148
123,131,139,148
123,131,140,148
123,131,139,148
122,130,139,147
122,130,139,147
123,131,139,148
123,131,140,148
123,131,139,147
123,131,139,148
123,132,140,148
123,131,139,147
123,131,140,148
123,131,139,148
122,130,139,147
123,131,140,148
123,130,139,148
123,130,139,147
122,130,139,147
123,130,139,147
123,130,139,148
122,130,139,148
123,131,140,148
123,131,140,147
123,131,140,147
123,131,140,148
123,130,140,148
123,130,140,149
123,132,142,153
122,131,143,155
122,131,142,154
121,131,142,153
122,132,143,156
122,132,144,157
122,132,144,157
122,132,144,157
123,132,144,157
123,132,143,156
122,132,144,157
122,132,144,157
122,132,144,156
122,132,144,158
122,131,144,156
122,132,144,157
122,132,143,155
122,131,143,154
122,132,144,157
122,133,145,158
121,131,143,156
122,132,143,156
122,132,144,157
122,132,144,157
122,131,143,155
122,132,144,156
123,132,144,156
123,132,142,153
123,132,141,152
123,131,140,149
122,130,139,148
123,131,139,148
123,131,140,148
123,130,139,148
123,131,139,148
124,131,139,148
123,131,139,147
123,131,139,147
124,131,140,148
124,132,140,148
123,131,140,148
123,131,140,148
123,131,140,148
123,131,140,148
124,131,140,148
123,131,140,148
124,131,140,147
124,131,140,148
124,132,140,147
123,131,140,148
123,132,140,148
124,132,140,148
124,131,140,148
124,132,140,147
124,132,140,148
123,131,140,148
123,131,139,148
124,132,140,148
124,132,140,148
123,131,140,148
124,131,140,148
123,131,139,147
123,131,139,147
123,131,139,147
123,131,139,147
124,132,140,148
123,131,139,147
123,131,139,147
124,132,140,147
123,131,139,148
123,131,139,147
123,132,140,148
123,132,140,148
123,132,140,148
123,131,139,147
123,131,140,147
123,131,139,147
122,131,139,147
123,131,139,147
122,130,139,147
122,130,139,147
122,130,139,147
122,131,139,147
122,130,138,146
123,130,139,147
123,131,139,147
122,129,138,147
122,130,139,147
122,130,139,147
123,131,139,147
122,130,139,147
122,130,139,147
122,130,139,148
122,130,140,149
122,130,141,153
122,131,142,155
121,130,142,155
121,130,142,155
121,131,143,156
121,131,143,155
122,132,144,157
121,131,143,157
122,132,144,157
122,132,144,158
122,132,144,158
121,132,143,157
121,131,143,156
121,131,143,156
122,132,144,157
122,132,143,157
122,132,144,156
122,132,144,157
121,132,144,157
121,132,144,157
122,132,144,157
121,132,143,157
122,132,144,157
121,132,144,157
121,132,144,157
121,131,144,157
121,132,144,157
121,132,144,157
122,131,142,154
123,131,140,152
122,130,140,149
123,130,139,148
122,130,138,147
123,131,139,148
123,131,139,147
122,131,139,148
123,131,139,148
123,131,139,147
123,131,139,147
123,130,139,147
123,131,139,147
123,131,139,147
123,131,139,147
122,131,139,147
122,130,139,147
122,130,139,146
122,131,139,147
122,131,139,148
122,131,139,147
122,130,139,147
122,130,139,147
122,130,139,147
121,130,138,147
123,131,139,148
122,129,138,146
122,129,138,146
121,129,138,147
122,130,139,147
122,130,138,146
121,130,138,146
121,129,138,147
121,129,138,146
122,130,139,147
122,130,138,147
122,130,138,146
121,129,138,147
122,130,139,148
121,129,138,146
122,129,138,147
122,130,139,148
122,130,139,148
121,129,138,147
122,130,139,147
122,130,139,148
122,130,140,150
122,131,142,154
122,131,142,154
121,130,141,153
121,130,142,155
121,131,143,157
121,131,143,154
121,131,143,155
121,132,144,157
121,131,143,155
122,132,144,157
121,131,143,156
122,132,145,158
121,131,144,157
121,131,144,158
121,131,143,155
121,131,143,155
121,130,142,155
122,132,144,156
122,132,145,158
122,132,144,157
121,131,143,155
122,132,144,157
122,132,144,157
121,131,143,155
121,131,142,155
122,132,143,155
122,133,144,156
121,131,143,155
122,131,143,155
123,131,141,152
122,131,140,150
122,131,140,149
121,129,139,148
121,130,138,147
121,129,138,147
121,129,138,147
122,130,139,147
122,130,138,147
121,129,138,147
121,129,138,146
121,129,138,146
122,130,139,147
122,129,138,146
122,130,139,147
122,130,139,147
121,129,138,146
122,130,139,147
122,129,138,146
122,130,138,146
121,129,138,146
122,130,139,147
122,129,138,147
121,129,138,146
121,129,138,146
121,129,138,146
121,129,138,147
121,129,138,146
121,129,138,146
122,129,138,146
121,129,138,146
122,129,138,147
122,130,139,147
122,129,138,147
122,129,139,147
122,130,138,146
122,129,138,147
122,130,139,147
122,130,139,147
122,130,139,147
122,130,139,148
122,130,140,150
122,130,142,154
121,130,141,153
121,130,142,154
121,130,141,154
122,131,143,155
121,131,142,154
122,131,143,157
121,131,143,156
121,131,142,156
122,132,144,157
121,131,142,155
121,131,142,156
121,131,142,154
121,131,143,156
121,130,141,154
121,130,142,155
121,130,142,154
122,131,144,157
122,131,143,156
122,132,144,157
121,131,143,155
123,132,143,155
123,131,141,152
122,131,140,149
122,130,139,148
122,130,139,148
122,130,139,148
122,130,139,148
122,130,139,147
122,130,139,147
122,130,139,147
122,130,139,147
121,129,138,147
122,130,139,147
122,130,139,148
122,130,138,147
121,129,138,147
121,129,138,146
122,130,139,147
122,130,139,147
