 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61,,,,,,,,,,,,,,,,
68,75,84,96,112,132,151,116,126,133,140,149,125,116,112,125,1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,84,96,112,131,150,116,126,133,140,149,125,116,112,125,1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4137931034,0.1724137931,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,85,97,112,131,151,116,126,133,141,149,124,115,112,125,1,0.8793103448,0.7068965517,0.5,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0344827586,0.1896551724,0.2413793103,0.0172413793
68,74,84,96,112,131,151,117,126,133,141,149,125,116,112,125,1,0.8965517241,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2586206897,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,84,96,112,131,150,116,125,133,141,149,125,115,112,125,1,0.8771929825,0.7192982456,0.5087719298,0.2280701754,-0.1052631579,-0.4385964912,0.1578947368,0,-0.1403508772,-0.2807017544,0.6172839506,0,0.1754385965,0.2280701754,0
69,75,85,96,112,131,151,116,126,133,141,149,125,116,112,125,1,0.8947368421,0.7192982456,0.5263157895,0.2456140351,-0.0877192982,-0.4385964912,0.1754385965,0,-0.1228070175,-0.2631578947,0.6375,0.0175438596,0.1754385965,0.2456140351,0.0175438596
68,75,85,96,112,131,151,116,126,133,141,149,125,116,113,125,1,0.8793103448,0.7068965517,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.224137931,0.0172413793
68,75,85,97,112,131,150,116,126,133,141,149,125,116,112,125,1,0.8793103448,0.7068965517,0.5,0.2413793103,-0.0862068966,-0.4137931034,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,74,84,97,113,132,151,116,126,133,141,149,125,116,112,125,1,0.8965517241,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,85,97,113,132,151,116,126,133,141,149,125,116,112,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,84,96,112,131,151,116,126,134,141,149,125,116,112,125,1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.0862068966,-0.4310344828,0.1724137931,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,85,97,113,132,152,116,126,134,141,149,125,115,112,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4482758621,0.1724137931,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1896551724,0.2413793103,0.0172413793
67,73,83,95,111,131,151,117,126,134,141,149,125,116,112,126,1,0.8983050847,0.7288135593,0.5254237288,0.2542372881,-0.0847457627,-0.4237288136,0.1525423729,0,-0.1355932203,-0.2542372881,0.6463414634,0.0169491525,0.1694915254,0.2372881356,0
68,75,85,97,113,133,153,116,126,133,141,149,125,116,112,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4655172414,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,84,96,112,132,151,117,126,133,140,149,125,116,113,125,1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.224137931,0.0172413793
68,74,84,97,113,132,152,117,126,133,140,149,125,116,112,125,1,0.8965517241,0.724137931,0.5,0.224137931,-0.1034482759,-0.4482758621,0.1551724138,0,-0.1206896552,-0.2413793103,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,84,97,113,132,151,117,126,133,140,149,125,116,112,125,1,0.8793103448,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,85,97,113,133,152,117,126,133,141,149,125,116,112,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4482758621,0.1551724138,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793
67,74,84,96,112,132,152,116,126,133,141,149,125,115,112,125,1,0.8813559322,0.7118644068,0.5084745763,0.2372881356,-0.1016949153,-0.4406779661,0.1694915254,0,-0.1186440678,-0.2542372881,0.6341463415,0.0169491525,0.186440678,0.2372881356,0.0169491525
68,75,85,97,113,133,152,117,127,134,141,149,126,117,113,126,1,0.8813559322,0.7118644068,0.5084745763,0.2372881356,-0.1016949153,-0.4237288136,0.1694915254,0,-0.1186440678,-0.2372881356,0.6419753086,0.0169491525,0.1694915254,0.2372881356,0.0169491525
67,75,85,97,113,133,152,117,127,134,140,149,126,116,113,126,1,0.8666666667,0.7,0.5,0.2333333333,-0.1,-0.4166666667,0.1666666667,0,-0.1166666667,-0.2166666667,0.6341463415,0.0166666667,0.1833333333,0.2333333333,0.0166666667
68,75,85,97,113,132,151,117,126,134,140,149,125,116,113,126,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1379310345,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.224137931,0
68,75,84,97,113,132,151,117,126,134,141,149,125,116,113,126,1,0.8793103448,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.224137931,0
68,75,84,97,113,132,151,117,126,134,141,150,125,116,112,126,1,0.8793103448,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1379310345,-0.2586206897,0.6219512195,0.0172413793,0.1724137931,0.2413793103,0
68,75,85,97,113,132,151,117,126,133,141,149,125,116,113,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.224137931,0.0172413793
68,75,85,97,113,133,152,117,127,134,141,150,126,116,113,126,1,0.8813559322,0.7118644068,0.5084745763,0.2372881356,-0.1016949153,-0.4237288136,0.1694915254,0,-0.1186440678,-0.2372881356,0.6341463415,0.0169491525,0.186440678,0.2372881356,0.0169491525
68,75,85,97,113,133,152,117,126,133,141,150,125,116,112,125,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4482758621,0.1551724138,0,-0.1206896552,-0.2586206897,0.6219512195,0.0172413793,0.1724137931,0.2413793103,0.0172413793
68,75,85,97,114,134,153,117,127,134,141,150,126,117,113,126,1,0.8813559322,0.7118644068,0.5084745763,0.2203389831,-0.1186440678,-0.4406779661,0.1694915254,0,-0.1186440678,-0.2372881356,0.6341463415,0.0169491525,0.1694915254,0.2372881356,0.0169491525
69,76,86,98,114,134,153,118,127,135,142,151,126,117,113,127,1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4482758621,0.1551724138,0,-0.1379310345,-0.2586206897,0.6219512195,0.0172413793,0.1724137931,0.2413793103,0
68,75,84,96,113,132,151,118,127,134,141,150,126,117,113,127,1,0.8813559322,0.7288135593,0.5254237288,0.2372881356,-0.0847457627,-0.406779661,0.1525423729,0,-0.1186440678,-0.2372881356,0.6341463415,0.0169491525,0.1694915254,0.2372881356,0
74,80,89,99,113,129,145,113,121,127,133,140,121,113,110,121,1,0.8723404255,0.6808510638,0.4680851064,0.170212766,-0.170212766,-0.5106382979,0.170212766,0,-0.1276595745,-0.2553191489,0.6212121212,0,0.170212766,0.2340425532,0
74,80,88,99,113,129,145,113,121,127,132,140,121,113,110,121,1,0.8723404255,0.7021276596,0.4680851064,0.170212766,-0.170212766,-0.5106382979,0.170212766,0,-0.1276595745,-0.2340425532,0.6212121212,0,0.170212766,0.2340425532,0
74,80,89,99,113,129,145,113,121,127,132,140,122,114,110,121,1,0.8723404255,0.6808510638,0.4680851064,0.170212766,-0.170212766,-0.5106382979,0.170212766,0,-0.1276595745,-0.2340425532,0.6212121212,-0.0212765957,0.1489361702,0.2340425532,0
74,80,89,100,113,129,145,113,121,127,132,140,122,114,110,121,1,0.8723404255,0.6808510638,0.4468085106,0.170212766,-0.170212766,-0.5106382979,0.170212766,0,-0.1276595745,-0.2340425532,0.6212121212,-0.0212765957,0.1489361702,0.2340425532,0
74,80,89,99,113,129,145,113,121,127,132,140,122,113,110,121,1,0.8723404255,0.6808510638,0.4680851064,0.170212766,-0.170212766,-0.5106382979,0.170212766,0,-0.1276595745,-0.2340425532,0.6212121212,-0.0212765957,0.170212766,0.2340425532,0
74,81,89,100,114,130,145,113,121,127,132,140,122,114,111,121,1,0.8510638298,0.6808510638,0.4468085106,0.1489361702,-0.1914893617,-0.5106382979,0.170212766,0,-0.1276595745,-0.2340425532,0.6060606061,-0.0212765957,0.1489361702,0.2127659574,0
74,80,89,100,114,130,145,113,121,127,133,140,122,114,110,121,1,0.8723404255,0.6808510638,0.4468085106,0.1489361702,-0.1914893617,-0.5106382979,0.170212766,0,-0.1276595745,-0.2553191489,0.6212121212,-0.0212765957,0.1489361702,0.2340425532,0
75,81,90,101,115,131,146,113,121,127,133,141,122,114,111,122,1,0.8695652174,0.6739130435,0.4347826087,0.1304347826,-0.2173913043,-0.5434782609,0.1739130435,0,-0.1304347826,-0.2608695652,0.6060606061,-0.0217391304,0.152173913,0.2173913043,-0.0217391304
75,82,91,102,115,132,147,114,121,127,133,141,123,114,111,122,1,0.847826087,0.652173913,0.4130434783,0.1304347826,-0.2391304348,-0.5652173913,0.152173913,0,-0.1304347826,-0.2608695652,0.5909090909,-0.0434782609,0.152173913,0.2173913043,-0.0217391304
75,82,91,103,116,132,147,114,122,128,134,142,124,116,111,123,1,0.8510638298,0.6595744681,0.4042553191,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
75,83,92,104,117,133,148,115,122,128,134,142,124,116,112,123,1,0.829787234,0.6382978723,0.3829787234,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2127659574,-0.0212765957
75,83,92,103,117,133,148,115,122,128,134,142,124,116,111,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,92,103,117,133,149,115,123,129,135,143,125,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1489361702,0.2340425532,0
76,84,93,104,118,134,149,116,123,129,135,143,125,117,112,124,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,93,104,117,133,148,116,124,129,135,143,125,117,112,124,1,0.8541666667,0.6458333333,0.4166666667,0.1458333333,-0.1875,-0.5,0.1666666667,0,-0.1041666667,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.25,0
76,83,92,104,118,134,149,115,123,129,135,143,125,117,112,123,1,0.8510638298,0.6595744681,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,117,133,148,115,123,129,135,143,125,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1489361702,0.2340425532,0
76,83,92,103,117,133,148,115,123,129,135,143,124,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0212765957,0.1489361702,0.2340425532,0
76,83,92,103,117,133,148,115,122,128,134,142,124,116,112,123,1,0.847826087,0.652173913,0.4130434783,0.1086956522,-0.2391304348,-0.5652173913,0.152173913,0,-0.1304347826,-0.2608695652,0.5909090909,-0.0434782609,0.1304347826,0.2173913043,-0.0217391304
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,124,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,93,103,117,134,150,116,123,129,135,143,125,117,112,124,1,0.8510638298,0.6382978723,0.4255319149,0.1276595745,-0.2340425532,-0.5744680851,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,84,93,103,117,133,148,115,123,129,135,142,125,116,112,123,1,0.829787234,0.6382978723,0.4255319149,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5909090909,-0.0425531915,0.1489361702,0.2340425532,0
76,83,93,104,117,133,148,115,123,129,135,143,125,117,112,123,1,0.8510638298,0.6382978723,0.4042553191,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,117,133,149,115,123,129,135,143,125,117,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,93,104,118,134,149,115,123,129,135,143,125,117,112,123,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,117,133,148,115,123,129,134,142,124,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2340425532,0.6060606061,-0.0212765957,0.1489361702,0.2340425532,0
76,83,92,103,117,133,149,115,123,129,135,143,125,117,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,116,133,149,115,123,129,135,143,125,117,112,124,1,0.8510638298,0.6595744681,0.4255319149,0.1489361702,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,92,103,117,133,148,115,123,129,135,143,124,116,113,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2127659574,-0.5319148936,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0212765957,0.1489361702,0.2127659574,0
76,83,93,103,117,133,149,115,123,129,135,143,124,116,112,123,1,0.8510638298,0.6382978723,0.4255319149,0.1276595745,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,135,150,115,123,129,135,143,125,117,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2553191489,-0.5744680851,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,117,134,150,116,124,129,135,143,125,117,113,124,1,0.8541666667,0.6666666667,0.4375,0.1458333333,-0.2083333333,-0.5416666667,0.1666666667,0,-0.1041666667,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.2291666667,0
76,83,92,103,117,134,150,115,123,129,135,143,125,117,112,124,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2340425532,-0.5744680851,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,92,103,117,134,149,115,123,129,135,143,125,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1489361702,0.2340425532,0
76,84,93,104,117,134,149,116,123,129,135,143,125,117,112,124,1,0.829787234,0.6382978723,0.4042553191,0.1276595745,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,93,104,118,134,149,116,124,130,136,144,125,117,113,124,1,0.8541666667,0.6458333333,0.4166666667,0.125,-0.2083333333,-0.5208333333,0.1666666667,0,-0.125,-0.25,0.6029411765,-0.0208333333,0.1458333333,0.2291666667,0
76,83,92,103,118,134,150,116,124,130,135,143,125,117,113,124,1,0.8541666667,0.6666666667,0.4375,0.125,-0.2083333333,-0.5416666667,0.1666666667,0,-0.125,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.2291666667,0
76,84,93,104,118,135,150,116,124,130,135,143,126,117,113,124,1,0.8333333333,0.6458333333,0.4166666667,0.125,-0.2291666667,-0.5416666667,0.1666666667,0,-0.125,-0.2291666667,0.5970149254,-0.0416666667,0.1458333333,0.2291666667,0
76,83,93,103,117,134,149,116,124,130,135,143,125,117,113,124,1,0.8541666667,0.6458333333,0.4375,0.1458333333,-0.2083333333,-0.5208333333,0.1666666667,0,-0.125,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.2291666667,0
76,83,93,104,117,134,149,116,123,130,136,143,125,117,112,124,1,0.8510638298,0.6382978723,0.4042553191,0.1276595745,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1489361702,-0.2765957447,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,93,104,117,134,149,116,123,129,135,143,125,117,113,123,1,0.8510638298,0.6382978723,0.4042553191,0.1276595745,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2127659574,0
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,123,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,83,93,104,118,134,149,116,123,129,135,143,125,117,113,123,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2127659574,0
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,123,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,0
76,84,93,104,118,134,149,116,123,130,136,143,125,117,113,124,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1489361702,-0.2765957447,0.5820895522,-0.0425531915,0.1276595745,0.2127659574,-0.0212765957
76,84,93,104,118,135,150,116,123,130,135,143,125,117,113,124,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2553191489,-0.5744680851,0.1489361702,0,-0.1489361702,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2127659574,-0.0212765957
76,83,93,104,118,134,150,116,123,129,136,143,125,117,113,123,1,0.8510638298,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5744680851,0.1489361702,0,-0.1276595745,-0.2765957447,0.5970149254,-0.0425531915,0.1276595745,0.2127659574,0
75,83,92,103,117,134,149,116,123,130,135,143,125,117,112,124,1,0.8333333333,0.6458333333,0.4166666667,0.125,-0.2291666667,-0.5416666667,0.1458333333,0,-0.1458333333,-0.25,0.5882352941,-0.0416666667,0.125,0.2291666667,-0.0208333333
75,83,92,104,118,134,150,116,124,130,136,143,125,117,113,124,1,0.8367346939,0.6530612245,0.4081632653,0.1224489796,-0.2040816327,-0.5306122449,0.1632653061,0,-0.1224489796,-0.2448979592,0.6029411765,-0.0204081633,0.1428571429,0.2244897959,0
76,83,93,104,118,134,149,116,124,130,136,144,125,117,113,124,1,0.8541666667,0.6458333333,0.4166666667,0.125,-0.2083333333,-0.5208333333,0.1666666667,0,-0.125,-0.25,0.6029411765,-0.0208333333,0.1458333333,0.2291666667,0
