 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61
87.9310344828,72.4137931034,51.724137931,24.1379310345,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-41.3793103448,17.2413793103,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,70.6896551724,50,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,3.4482758621,18.9655172414,24.1379310345,1.724137931,87.9310344828
89.6551724138,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,15.5172413793,0,-12.0689655172,-25.8620689655,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931,89.6551724138
87.7192982456,71.9298245614,50.8771929825,22.8070175439,-10.5263157895,-43.8596491228,15.7894736842,0,-14.0350877193,-28.0701754386,61.7283950617,0,17.5438596491,22.8070175439,0,87.7192982456
89.4736842105,71.9298245614,52.6315789474,24.5614035088,-8.7719298246,-43.8596491228,17.5438596491,0,-12.2807017544,-26.3157894737,63.75,1.7543859649,17.5438596491,24.5614035088,1.7543859649,89.4736842105
87.9310344828,70.6896551724,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,22.4137931034,1.724137931,87.9310344828
87.9310344828,70.6896551724,50,24.1379310345,-8.6206896552,-41.3793103448,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
89.6551724138,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931,89.6551724138
87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-43.1034482759,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,72.4137931034,51.724137931,24.1379310345,-8.6206896552,-43.1034482759,17.2413793103,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-44.8275862069,17.2413793103,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,18.9655172414,24.1379310345,1.724137931,87.9310344828
89.8305084746,72.8813559322,52.5423728814,25.4237288136,-8.4745762712,-42.3728813559,15.2542372881,0,-13.5593220339,-25.4237288136,64.6341463415,1.6949152542,16.9491525424,23.7288135593,0,89.8305084746
87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-46.5517241379,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,72.4137931034,51.724137931,24.1379310345,-10.3448275862,-43.1034482759,15.5172413793,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,22.4137931034,1.724137931,87.9310344828
89.6551724138,72.4137931034,50,22.4137931034,-10.3448275862,-44.8275862069,15.5172413793,0,-12.0689655172,-24.1379310345,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931,89.6551724138
87.9310344828,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-44.8275862069,15.5172413793,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
88.1355932203,71.186440678,50.8474576271,23.7288135593,-10.1694915254,-44.0677966102,16.9491525424,0,-11.8644067797,-25.4237288136,63.4146341463,1.6949152542,18.6440677966,23.7288135593,1.6949152542,88.1355932203
88.1355932203,71.186440678,50.8474576271,23.7288135593,-10.1694915254,-42.3728813559,16.9491525424,0,-11.8644067797,-23.7288135593,64.1975308642,1.6949152542,16.9491525424,23.7288135593,1.6949152542,88.1355932203
86.6666666667,70,50,23.3333333333,-10,-41.6666666667,16.6666666667,0,-11.6666666667,-21.6666666667,63.4146341463,1.6666666667,18.3333333333,23.3333333333,1.6666666667,86.6666666667
87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-13.7931034483,-24.1379310345,62.962962963,1.724137931,17.2413793103,22.4137931034,0,87.9310344828
87.9310344828,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,17.2413793103,22.4137931034,0,87.9310344828
87.9310344828,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-13.7931034483,-25.8620689655,62.1951219512,1.724137931,17.2413793103,24.1379310345,0,87.9310344828
87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,22.4137931034,1.724137931,87.9310344828
88.1355932203,71.186440678,50.8474576271,23.7288135593,-10.1694915254,-42.3728813559,16.9491525424,0,-11.8644067797,-23.7288135593,63.4146341463,1.6949152542,18.6440677966,23.7288135593,1.6949152542,88.1355932203
87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-44.8275862069,15.5172413793,0,-12.0689655172,-25.8620689655,62.1951219512,1.724137931,17.2413793103,24.1379310345,1.724137931,87.9310344828
88.1355932203,71.186440678,50.8474576271,22.0338983051,-11.8644067797,-44.0677966102,16.9491525424,0,-11.8644067797,-23.7288135593,63.4146341463,1.6949152542,16.9491525424,23.7288135593,1.6949152542,88.1355932203
87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-44.8275862069,15.5172413793,0,-13.7931034483,-25.8620689655,62.1951219512,1.724137931,17.2413793103,24.1379310345,0,87.9310344828
88.1355932203,72.8813559322,52.5423728814,23.7288135593,-8.4745762712,-40.6779661017,15.2542372881,0,-11.8644067797,-23.7288135593,63.4146341463,1.6949152542,16.9491525424,23.7288135593,0,88.1355932203
87.2340425532,68.085106383,46.8085106383,17.0212765957,-17.0212765957,-51.0638297872,17.0212765957,0,-12.7659574468,-25.5319148936,62.1212121212,0,17.0212765957,23.4042553191,0,87.2340425532
87.2340425532,70.2127659574,46.8085106383,17.0212765957,-17.0212765957,-51.0638297872,17.0212765957,0,-12.7659574468,-23.4042553191,62.1212121212,0,17.0212765957,23.4042553191,0,87.2340425532
87.2340425532,68.085106383,46.8085106383,17.0212765957,-17.0212765957,-51.0638297872,17.0212765957,0,-12.7659574468,-23.4042553191,62.1212121212,-2.1276595745,14.8936170213,23.4042553191,0,87.2340425532
87.2340425532,68.085106383,44.6808510638,17.0212765957,-17.0212765957,-51.0638297872,17.0212765957,0,-12.7659574468,-23.4042553191,62.1212121212,-2.1276595745,14.8936170213,23.4042553191,0,87.2340425532
87.2340425532,68.085106383,46.8085106383,17.0212765957,-17.0212765957,-51.0638297872,17.0212765957,0,-12.7659574468,-23.4042553191,62.1212121212,-2.1276595745,17.0212765957,23.4042553191,0,87.2340425532
85.1063829787,68.085106383,44.6808510638,14.8936170213,-19.1489361702,-51.0638297872,17.0212765957,0,-12.7659574468,-23.4042553191,60.6060606061,-2.1276595745,14.8936170213,21.2765957447,0,85.1063829787
87.2340425532,68.085106383,44.6808510638,14.8936170213,-19.1489361702,-51.0638297872,17.0212765957,0,-12.7659574468,-25.5319148936,62.1212121212,-2.1276595745,14.8936170213,23.4042553191,0,87.2340425532
86.9565217391,67.3913043478,43.4782608696,13.0434782609,-21.7391304348,-54.347826087,17.3913043478,0,-13.0434782609,-26.0869565217,60.6060606061,-2.1739130435,15.2173913043,21.7391304348,-2.1739130435,86.9565217391
84.7826086957,65.2173913043,41.3043478261,13.0434782609,-23.9130434783,-56.5217391304,15.2173913043,0,-13.0434782609,-26.0869565217,59.0909090909,-4.347826087,15.2173913043,21.7391304348,-2.1739130435,84.7826086957
85.1063829787,65.9574468085,40.4255319149,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
82.9787234043,63.829787234,38.2978723404,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,82.9787234043
82.9787234043,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,82.9787234043
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,14.8936170213,23.4042553191,0,85.1063829787
82.9787234043,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,82.9787234043
85.4166666667,64.5833333333,41.6666666667,14.5833333333,-18.75,-50,16.6666666667,0,-10.4166666667,-22.9166666667,61.1940298507,-2.0833333333,14.5833333333,25,0,85.4166666667
85.1063829787,65.9574468085,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,14.8936170213,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
84.7826086957,65.2173913043,41.3043478261,10.8695652174,-23.9130434783,-56.5217391304,15.2173913043,0,-13.0434782609,-26.0869565217,59.0909090909,-4.347826087,13.0434782609,21.7391304348,-2.1739130435,84.7826086957
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,63.829787234,42.5531914894,12.7659574468,-23.4042553191,-57.4468085106,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
82.9787234043,63.829787234,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.0909090909,-4.2553191489,14.8936170213,23.4042553191,0,82.9787234043
85.1063829787,63.829787234,40.4255319149,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-23.4042553191,60.6060606061,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,14.8936170213,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
82.9787234043,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,58.2089552239,-2.1276595745,14.8936170213,23.4042553191,0,82.9787234043
82.9787234043,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,58.2089552239,-2.1276595745,14.8936170213,23.4042553191,0,82.9787234043
82.9787234043,63.829787234,40.4255319149,10.6382978723,-25.5319148936,-57.4468085106,17.0212765957,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,23.4042553191,0,82.9787234043
85.4166666667,66.6666666667,43.75,14.5833333333,-20.8333333333,-54.1666666667,16.6666666667,0,-10.4166666667,-22.9166666667,61.1940298507,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-23.4042553191,-57.4468085106,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,14.8936170213,23.4042553191,0,85.1063829787
82.9787234043,63.829787234,40.4255319149,12.7659574468,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,82.9787234043
85.4166666667,64.5833333333,41.6666666667,12.5,-20.8333333333,-52.0833333333,16.6666666667,0,-12.5,-25,60.2941176471,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
85.4166666667,66.6666666667,43.75,12.5,-20.8333333333,-54.1666666667,16.6666666667,0,-12.5,-22.9166666667,61.1940298507,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
83.3333333333,64.5833333333,41.6666666667,12.5,-22.9166666667,-54.1666666667,16.6666666667,0,-12.5,-22.9166666667,59.7014925373,-4.1666666667,14.5833333333,22.9166666667,0,83.3333333333
85.4166666667,64.5833333333,43.75,14.5833333333,-20.8333333333,-52.0833333333,16.6666666667,0,-12.5,-22.9166666667,61.1940298507,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
85.1063829787,63.829787234,40.4255319149,12.7659574468,-23.4042553191,-55.3191489362,14.8936170213,0,-14.8936170213,-27.6595744681,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,63.829787234,40.4255319149,12.7659574468,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
82.9787234043,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-14.8936170213,-27.6595744681,58.2089552239,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,82.9787234043
82.9787234043,63.829787234,40.4255319149,10.6382978723,-25.5319148936,-57.4468085106,14.8936170213,0,-14.8936170213,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,82.9787234043
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-57.4468085106,14.8936170213,0,-12.7659574468,-27.6595744681,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
83.3333333333,64.5833333333,41.6666666667,12.5,-22.9166666667,-54.1666666667,14.5833333333,0,-14.5833333333,-25,58.8235294118,-4.1666666667,12.5,22.9166666667,-2.0833333333,83.3333333333
83.6734693878,65.306122449,40.8163265306,12.2448979592,-20.4081632653,-53.0612244898,16.3265306122,0,-12.2448979592,-24.4897959184,60.2941176471,-2.0408163265,14.2857142857,22.4489795918,0,83.6734693878
85.4166666667,64.5833333333,41.6666666667,12.5,-20.8333333333,-52.0833333333,16.6666666667,0,-12.5,-25,60.2941176471,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
85.4166666667,64.5833333333,41.6666666667,12.5,-20.8333333333,-52.0833333333,16.6666666667,0,-12.5,-25,61.1940298507,-2.0833333333,14.5833333333,22.9166666667,0,85.4166666667
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-57.4468085106,14.8936170213,0,-14.8936170213,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,85.1063829787
83.3333333333,64.5833333333,41.6666666667,10.4166666667,-22.9166666667,-56.25,16.6666666667,0,-12.5,-25,58.8235294118,-4.1666666667,14.5833333333,22.9166666667,0,83.3333333333
83.3333333333,62.5,39.5833333333,10.4166666667,-22.9166666667,-54.1666666667,16.6666666667,0,-12.5,-25,58.8235294118,-4.1666666667,14.5833333333,22.9166666667,0,83.3333333333
83.6734693878,63.2653061224,38.7755102041,10.2040816327,-22.4489795918,-55.1020408163,16.3265306122,0,-12.2448979592,-24.4897959184,60.2941176471,-2.0408163265,14.2857142857,24.4897959184,0,83.6734693878
83.6734693878,65.306122449,40.8163265306,12.2448979592,-20.4081632653,-53.0612244898,16.3265306122,0,-12.2448979592,-24.4897959184,60.2941176471,-2.0408163265,14.2857142857,22.4489795918,0,83.6734693878
83.6734693878,63.2653061224,40.8163265306,12.2448979592,-20.4081632653,-53.0612244898,16.3265306122,0,-12.2448979592,-24.4897959184,59.4202898551,-2.0408163265,14.2857142857,22.4489795918,0,83.6734693878
83.6734693878,63.2653061224,40.8163265306,12.2448979592,-20.4081632653,-51.0204081633,16.3265306122,0,-12.2448979592,-22.4489795918,60.2941176471,-4.0816326531,14.2857142857,22.4489795918,0,83.6734693878
83.6734693878,63.2653061224,38.7755102041,10.2040816327,-22.4489795918,-53.0612244898,14.2857142857,0,-12.2448979592,-24.4897959184,59.4202898551,-4.0816326531,12.2448979592,22.4489795918,0,83.6734693878
85.4166666667,64.5833333333,41.6666666667,10.4166666667,-22.9166666667,-54.1666666667,16.6666666667,0,-12.5,-25,60.2941176471,-4.1666666667,12.5,22.9166666667,0,85.4166666667
83.6734693878,63.2653061224,40.8163265306,10.2040816327,-22.4489795918,-53.0612244898,16.3265306122,0,-12.2448979592,-24.4897959184,59.4202898551,-2.0408163265,14.2857142857,22.4489795918,0,83.6734693878
85.1063829787,63.829787234,40.4255319149,8.5106382979,-25.5319148936,-57.4468085106,14.8936170213,0,-14.8936170213,-27.6595744681,58.8235294118,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,85.1063829787
83.6734693878,63.2653061224,38.7755102041,10.2040816327,-22.4489795918,-53.0612244898,16.3265306122,0,-12.2448979592,-22.4489795918,60.2941176471,-4.0816326531,14.2857142857,22.4489795918,0,83.6734693878
83.3333333333,62.5,39.5833333333,10.4166666667,-22.9166666667,-54.1666666667,16.6666666667,0,-12.5,-25,58.8235294118,-4.1666666667,12.5,22.9166666667,0,83.3333333333
85.1063829787,61.7021276596,38.2978723404,8.5106382979,-25.5319148936,-57.4468085106,14.8936170213,0,-14.8936170213,-27.6595744681,58.8235294118,-4.2553191489,12.7659574468,21.2765957447,-2.1276595745,85.1063829787
83.3333333333,64.5833333333,41.6666666667,10.4166666667,-20.8333333333,-52.0833333333,16.6666666667,0,-12.5,-25,58.8235294118,-4.1666666667,12.5,22.9166666667,0,83.3333333333
83.3333333333,62.5,39.5833333333,10.4166666667,-22.9166666667,-54.1666666667,16.6666666667,0,-12.5,-25,58.8235294118,-4.1666666667,12.5,22.9166666667,0,83.3333333333
84.7826086957,63.0434782609,39.1304347826,8.6956521739,-26.0869565217,-58.6956521739,15.2173913043,0,-15.2173913043,-28.2608695652,58.2089552239,-4.347826087,10.8695652174,19.5652173913,-2.1739130435,84.7826086957
82.9787234043,63.829787234,40.4255319149,8.5106382979,-25.5319148936,-57.4468085106,14.8936170213,0,-12.7659574468,-25.5319148936,58.2089552239,-4.2553191489,12.7659574468,23.4042553191,0,82.9787234043
83.3333333333,64.5833333333,41.6666666667,12.5,-22.9166666667,-54.1666666667,14.5833333333,0,-12.5,-25,58.8235294118,-2.0833333333,12.5,20.8333333333,0,83.3333333333
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-57.4468085106,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,12.7659574468,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-25.5319148936,-57.4468085106,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,21.2765957447,0,85.1063829787
83.3333333333,64.5833333333,39.5833333333,10.4166666667,-20.8333333333,-52.0833333333,14.5833333333,0,-12.5,-25,58.8235294118,-4.1666666667,12.5,20.8333333333,0,83.3333333333
