 X48, X49, X50, X58, X59, X60, X61
114,125,134,137,126,120,135
114,124,134,136,126,119,134
115,125,135,137,127,120,135
115,125,134,137,126,120,135
115,125,134,137,126,120,135
115,125,135,137,127,120,135
115,125,135,137,127,120,135
115,125,134,137,127,120,135
115,125,135,138,127,120,135
115,125,135,138,127,120,135
115,125,135,138,127,120,135
115,125,135,138,127,120,135
115,125,135,138,127,120,135
114,123,133,135,124,119,133
112,122,132,132,122,117,132
111,121,131,131,121,117,131
112,121,130,130,121,117,130
111,120,130,130,120,116,129
111,121,130,130,121,117,130
111,120,130,129,120,116,129
111,120,130,130,120,116,130
111,120,130,129,120,116,129
111,120,130,129,120,116,129
111,120,130,130,120,117,129
112,120,130,130,121,117,130
112,120,129,129,120,117,129
111,120,129,129,120,116,129
111,120,129,129,120,116,129
110,120,130,129,120,115,129
110,119,129,129,119,115,129
112,121,130,130,121,117,130
112,121,131,132,122,117,131
113,123,133,134,124,118,133
115,124,134,136,126,120,134
115,126,136,138,127,121,136
115,126,135,137,127,120,136
115,126,136,138,128,120,136
116,126,136,139,128,121,136
115,126,135,138,127,120,136
115,126,135,138,128,120,136
116,126,136,139,128,121,136
116,126,136,138,128,121,136
116,127,136,139,128,121,137
117,127,137,139,129,122,137
115,126,135,138,127,120,136
115,125,136,138,127,120,136
113,124,134,135,125,118,134
112,122,131,132,122,117,131
112,121,131,131,121,117,130
111,120,130,130,120,116,129
111,120,129,130,120,116,129
112,120,130,130,120,117,129
111,120,130,130,120,116,130
111,120,130,130,120,116,129
110,120,130,129,120,115,129
110,120,130,129,119,115,129
111,120,130,129,120,116,129
111,120,130,130,120,116,129
111,120,130,129,120,116,129
110,120,129,129,119,115,129
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,121,131,131,121,116,131
113,123,133,134,124,118,133
113,124,134,136,125,118,134
113,124,134,135,125,118,134
114,124,134,136,125,119,134
114,124,134,136,126,119,134
114,124,134,136,126,119,134
115,125,135,137,126,120,135
115,125,135,137,126,120,135
114,124,134,136,125,119,134
114,124,134,136,126,119,134
115,125,135,137,126,120,135
115,124,134,136,126,120,134
114,124,134,136,125,119,134
114,124,134,136,125,119,134
114,124,134,136,125,119,134
113,122,132,134,123,118,132
113,122,131,132,122,118,131
113,122,131,131,122,118,131
112,120,130,130,121,116,130
111,120,130,130,120,116,129
111,120,130,130,120,116,129
111,121,130,130,120,116,130
111,120,130,130,120,116,130
110,120,130,130,120,115,129
111,120,130,130,120,116,129
111,120,129,129,120,116,129
111,121,130,130,120,116,130
112,120,130,129,120,117,129
111,120,130,129,120,116,129
111,120,130,130,120,116,130
111,120,130,130,120,115,129
112,121,131,130,121,117,130
112,121,131,131,121,117,130
113,123,133,134,124,118,133
113,123,133,135,125,118,133
114,124,134,136,126,119,134
114,125,135,137,126,119,135
114,125,135,138,127,119,135
115,125,135,137,127,120,135
115,125,135,138,127,120,135
114,125,135,137,126,119,135
114,125,135,137,127,119,135
114,125,135,137,126,119,135
115,125,135,137,127,120,135
114,125,135,137,126,119,135
114,124,135,137,126,119,135
114,125,135,137,126,119,135
113,124,134,136,125,118,134
113,123,133,135,125,118,133
112,122,132,132,122,117,131
111,121,131,131,121,116,130
111,121,130,130,121,116,130
111,120,130,130,120,116,129
111,120,130,130,121,117,129
111,121,130,130,121,116,130
112,121,130,130,121,117,130
111,120,130,130,120,116,130
112,121,130,130,121,117,130
111,120,130,129,120,116,129
112,121,130,130,121,117,130
111,120,129,129,120,116,129
112,121,130,130,121,117,130
112,121,130,130,120,116,129
111,121,130,130,120,116,130
113,123,132,133,123,118,132
113,123,133,134,124,118,133
113,124,134,136,125,118,134
114,124,134,136,125,119,134
114,124,134,137,126,120,134
114,124,134,137,126,119,135
114,124,135,137,126,119,135
114,124,134,137,126,119,134
114,124,134,136,126,120,134
113,124,134,137,126,119,134
113,124,135,137,126,119,135
114,124,134,136,126,119,134
114,124,134,137,126,119,135
114,125,135,137,126,119,135
114,124,134,136,125,118,134
113,123,133,135,124,118,133
112,121,131,132,122,116,131
111,121,130,131,121,116,130
111,120,130,130,120,116,130
110,120,130,130,120,115,129
111,120,129,130,120,116,129
110,119,129,129,119,115,129
110,120,130,130,120,115,129
111,120,129,130,120,116,129
110,120,129,130,120,115,129
110,120,130,130,120,115,129
111,120,129,129,120,115,129
111,120,130,130,120,116,129
110,120,129,129,119,115,129
111,120,130,130,120,116,130
110,120,130,130,120,115,129
111,120,129,129,120,116,129
111,120,130,130,120,116,129
111,120,130,130,120,116,130
112,122,131,132,122,117,131
113,123,132,133,124,118,132
114,124,134,135,125,119,134
114,124,134,137,126,119,134
116,126,136,138,128,121,136
115,125,135,137,127,120,135
115,125,135,137,127,120,135
115,125,135,137,127,120,135
115,125,135,137,127,120,135
114,125,135,137,126,119,135
115,125,135,137,127,120,135
115,125,135,137,127,120,135
115,125,135,137,127,120,135
114,124,135,137,126,119,135
113,124,135,137,126,119,135
113,123,133,135,124,118,133
112,122,132,133,123,117,131
112,121,131,131,121,117,131
111,121,130,130,121,117,130
111,120,130,130,120,116,130
111,121,130,130,120,117,130
111,120,130,130,120,116,130
111,121,131,131,121,117,130
111,120,130,130,120,116,130
111,121,130,130,121,116,130
111,120,130,130,120,116,130
111,121,130,130,121,116,130
111,120,130,130,120,116,130
111,121,130,130,121,116,130
111,120,129,130,120,116,129
111,120,129,130,120,116,129
111,121,130,130,121,116,130
112,122,132,132,122,117,131
113,123,133,135,124,118,133
114,124,134,136,126,119,134
115,126,136,138,128,121,136
114,125,135,138,127,119,135
114,125,135,138,127,119,135
114,125,135,138,127,119,135
114,125,135,138,127,119,135
114,125,135,138,127,119,135
114,125,135,138,127,120,135
114,125,135,137,127,119,135
115,126,136,138,128,120,136
115,125,135,138,127,120,135
114,125,135,138,127,119,135
113,125,135,137,126,118,135
113,124,134,135,125,118,134
112,122,132,133,123,117,132
111,121,131,131,121,116,130
112,121,130,131,121,117,130
111,120,130,130,121,116,130
111,121,130,131,121,116,130
111,121,130,130,121,116,130
111,120,130,130,120,116,129
111,120,130,129,120,116,129
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,120,130,129,120,116,129
111,120,130,130,120,116,130
111,120,130,130,120,116,130
111,121,130,130,120,116,130
110,120,130,130,120,116,129
111,121,130,130,121,116,130
111,120,130,130,120,116,129
111,120,130,129,120,116,129
111,120,130,130,120,116,130
111,121,131,131,121,117,130
112,122,132,133,122,117,132
113,123,133,134,124,118,133
113,124,134,135,125,118,134
112,124,134,136,125,117,134
113,124,135,137,126,118,135
114,124,135,137,126,119,135
113,124,134,137,126,118,134
113,125,135,137,126,118,135
113,124,135,137,126,118,135
114,125,135,137,126,119,135
114,124,135,137,126,119,135
114,125,135,137,127,119,135
114,125,135,137,126,119,135
114,125,135,137,127,119,135
114,124,134,136,125,119,134
112,122,132,133,123,117,132
112,121,130,131,121,117,130
111,121,130,130,121,117,130
111,120,130,130,120,116,130
112,120,130,130,120,116,130
112,121,130,130,121,117,130
111,120,130,130,120,116,130
111,121,130,130,120,116,130
111,121,131,131,121,116,131
111,121,130,130,121,117,130
111,121,130,129,120,117,130
112,121,130,130,121,117,130
111,121,130,130,120,117,130
112,121,130,130,121,117,130
111,121,131,130,121,117,130
111,120,130,129,120,116,130
111,120,130,130,120,116,130
111,120,130,130,120,117,130
112,121,131,132,122,117,131
114,123,133,134,124,119,133
113,124,134,136,125,119,134
114,124,134,136,126,120,135
114,124,134,137,126,119,135
114,125,135,137,126,120,135
115,125,135,137,127,120,135
115,126,136,138,128,120,136
115,125,135,138,127,120,135
115,126,136,138,127,120,136
115,126,136,138,128,121,136
115,125,135,138,127,120,135
115,125,135,138,127,120,135
115,125,135,138,127,120,136
115,126,136,138,128,121,136
115,125,135,137,127,120,136
113,124,134,136,125,119,134
112,122,132,133,122,117,132
112,121,131,131,122,117,131
112,122,132,132,122,118,132
112,122,131,131,122,118,131
111,121,131,131,121,117,131
111,121,131,131,121,117,131
111,121,131,131,121,117,131
111,121,131,130,121,117,130
111,121,131,131,121,117,131
110,120,131,130,120,116,130
111,121,131,130,121,117,130
111,121,131,130,121,116,130
112,121,131,130,121,117,131
111,121,131,130,121,116,130
111,122,132,133,122,117,132
113,123,133,135,124,118,133
114,124,134,137,126,119,134
114,125,135,137,126,120,135
115,125,135,137,126,120,135
114,125,135,137,126,119,135
114,125,135,137,126,120,135
114,125,135,137,126,119,135
114,125,135,137,126,120,135
114,125,135,137,126,119,135
114,125,135,138,127,119,135
114,125,135,137,126,119,135
114,125,135,137,126,119,135
115,125,135,137,126,120,135
114,125,135,137,126,119,135
